question	question_en	answer	trickyAnswer							
Какой термин используется для обозначения совокупности элементов, с помощью которых пользователь взаимодействует с программой?	What term is used to refer to the set of elements through which the user interacts with the program?	Интерфейс (Interface)	Блок (Block)							
Какой объект позволяет сгруппировать несколько элементов вместе и управлять ими одновременно?	Which object allows you to group several elements together and manage them at the same time?	Слой (Layer)	Компонент (Component)							
Какой метод размещения элементов позволяет указать точную координату расположения на экране?	What method of placing elements allows you to specify the exact coordinate of the location on the screen?	Абсолютное позиционирование (Absolute positioning)	Выравнивание (alignment)							
Какая функция позволяет автоматически выстраивать элементы в виде колонок и рядов?	What function allows you to automatically arrange elements in the form of columns and rows?	Столбцы и строки (Columns and rows)	Текстовое поле (Text field)							
Какая концепция позволяет наследовать общие параметры от родительских элементов и применять относительное изменение размеров?	What concept allows you to inherit common settings from parent elements and apply relative sizing?	Концепция вложенности (Nesting concept)	Выравнивание (alignment)							
Какая функция позволяет автоматически подгонять размер элементов под контент или заполнять родительский элемент полностью?	What function allows you to automatically fit the size of the elements to the content or fill the parent element completely?	Автоматическое выравнивание (Auto leveling)	Иерархия (Hierarchy)							
Какой термин означает использование игровых элементов и концепций для обучения?	Which term refers to the use of game elements and concepts for learning?	Геймификация (Gamification)	Отступ (Indent)							
Как называется процесс создания и макетирования веб-сайтов?	What is the name of the process of creating and layout websites?	Веб-дизайн (Web design)	Сборка (Assembly)							
Какой термин означает настройку и изменение элементов в соответствии с индивидуальными предпочтениями?	Which term means customizing and changing elements to suit individual preferences?	Кастомизация (Customization)	Подсказка (Clue)							
Как называется все программы и данные,хранящиеся на компьютере или устройстве?	What is the name of all the programs and data stored on a computer or device?	Софт (Soft)	Шаблон (Sample)							
Что это за элемент в Framer, который можно скопировать и повторно использовать в разных частях макета?	What is this element in Framer that can be copied and reused in different parts of the layout?	Объект (An object)	Заливка (fill)							
Как называется панель в Framer, показывающая все элементы макета и их взаимосвязь?	What is the name of the panel in Framer that shows all the layout elements and their relationship?	Иерархия (Hierarchy)	Корневой элемент (Root element)							
Как называется законченный блок кода в Framer, который можно повторно использовать в разных проектах?	What is the name of a finished block of code in Framer that can be reused across projects?	Участок кода (Code section)	Макет (Layout)							
Как называется эффект движения и изменения свойств элемента на макете?	What is the name of the effect of movement and changing the properties of an element on the layout?	Анимация (Animation)	Стилизация (Stylization)							
Какой термин используется для обозначения кнопок, ползунков и других элементов	What term is used to refer to buttons, sliders, and other elements	Элементы управления (Controls)	Анимация (Animation)							
Как называется расстояние между элементами на макете?	What is the name of the distance between elements on the layout?	Отступ (Indent)	Отзывчивость (Responsiveness)							
Как называется набор цветов, используемых для создания макета?	What is the name of the set of colors used to create the layout?	Цветовая палитра (Color palette)	Цветовая палитра (Color palette)							
Как называется стиль и оформление текста на макете?	What is the name of the style and design of the text on the layout?	Типографика (Typography)	Компонент (Component)							
Какой термин используется для загрузки изображений и других файлов на макет?	What term is used to upload images and other files to a layout?	Импортирование (Importing)	Импорт (Import)							
Что это за символический макет, который демонстрирует функциональность и взаимодействие элементов на макете?	What is this symbolic layout that demonstrates the functionality and interaction of the elements on the layout?	Прототип (Prototype)	Шрифт (Font)							
Что это за функция, позволяющая пользователю изменять и взаимодействовать с элементом на макете?	What is this feature that allows the user to change and interact with an element on the layout?	Взаимодействие (Interaction)	Группировка (grouping)							
Какой термин означает адаптивность макета под различные размеры экранов и устройств?	Which term means adaptive layout to different screen sizes and devices?	Отзывчивость (Responsiveness)	Курсор (Cursor)							
Какой термин используется для готовых макетов и элементов, которые можно применить к своему проекту?	What is the term used for ready-made layouts and elements that you can apply to your project?	Шаблоны (Templates)	Прозрачность (Transparency)							
Что это за концепция, позволяющая использовать одни и те же элементы в разных частях макета?	What is the concept of allowing the same elements to be used in different parts of the layout?	Переиспользование (Reuse)	Прототип (Prototype)							
Какой параметр определяет, насколько просвечивает элемент на макете?	What parameter determines how transparent an element is on the layout?	Прозрачность (Transparency)	Интерфейс (Interface)							
Как называется фрагмент макета, содержащий один или несколько элементов?	What is the name of a layout fragment that contains one or more elements?	Блок (Block)	Слой (Layer)							
Что это за повторно используемый элемент, созданный для выполнения определенной функции на макете?	What is this reusable element created to perform a specific function on a layout?	Компонент (Component)	Абсолютное позиционирование (Absolute positioning)							
Какой термин используется для установки одинакового расстояния между элементами на макете?	What term is used to set equal spacing between elements in a layout?	Выравнивание (alignment)	Столбцы и строки (Columns and rows)							
Как называется элемент, предназначенный для ввода текста на макете?	What is the name of the element intended for entering text on the layout?	Текстовое поле (Text field)	Концепция вложенности (Nesting concept)							
Какой параметр позволяет располагать элементы на макете по определенной прямой линии?	What parameter allows you to arrange elements on the layout in a certain straight line?	Выравнивание (alignment)	Автоматическое выравнивание (Auto leveling)							
Как называется панель в Framer, отображающая порядок элементов на макете?	What is the name of the panel in Framer that displays the order of elements on the layout?	Иерархия (Hierarchy)	Геймификация (Gamification)							
Как называется пространство между текстом или элементами и границами макета?	What is the space between text or elements and layout borders called?	Отступ (Indent)	Веб-дизайн (Web design)							
Какой термин используется для объединения нескольких элементов в один, с целью улучшения производительности?	What term is used to combine multiple elements into one to improve performance?	Сборка (Assembly)	Кастомизация (Customization)							
Как называется всплывающая подсказка, содержащая информацию о функции или элементе интерфейса?	What is the name of a tooltip containing information about a function or interface element?	Подсказка (Clue)	Софт (Soft)							
Какой термин используется для готового дизайна, который можно использовать в своих проектах?	What is the term used for a finished design that you can use in your projects?	Шаблон (Sample)	Объект (An object)							
Как называется процесс заполнения элемента цветом или текстурой?	What is the process of filling an element with a color or texture called?	Заливка (fill)	Иерархия (Hierarchy)							
Какой элемент является основой иерархии элементов на макете?	Which element is the basis of the element hierarchy in the layout?	Корневой элемент (Root element)	Участок кода (Code section)							
Что обозначает схематическое изображение веб-страницы или приложения?	What does a schematic representation of a web page or application mean?	Макет (Layout)	Анимация (Animation)							
Какой термин используется для изменения внешнего вида элемента интерфейса?	What term is used to change the appearance of an interface element?	Стилизация (Stylization)	Элементы управления (Controls)							
Как называется процесс создания движения и изменения формы элементов на макете?	What is the process of creating movement and changing the shape of elements on a layout called?	Анимация (Animation)	Отступ (Indent)							
Какой термин означает адаптивность макета под различные размеры экранов?	Which term means adaptive layout to different screen sizes?	Отзывчивость (Responsiveness)	Цветовая палитра (Color palette)							
Как называется набор цветов, используемых в дизайне макета?	What is the name of the set of colors used in layout design?	Цветовая палитра (Color palette)	Типографика (Typography)							
Что означает повторно используемый элемент дизайна?	What does a reusable design element mean?	Компонент (Component)	Импортирование (Importing)							
Что указывает на загрузку изображений и других файлов на макет?	What indicates the loading of images and other files on the layout?	Импорт (Import)	Прототип (Prototype)							
Как называется набор знаков определенного стиля, используемый для отображения текста на макете?	What is the name of a character set of a certain style used to display text on a layout?	Шрифт (Font)	Взаимодействие (Interaction)							
Какой термин используется для объединения нескольких элементов в один на макете?	What term is used to combine multiple elements into one in a layout?	Группировка (grouping)	Отзывчивость (Responsiveness)							
Что показывает позицию ввода данных или текущее действие на макете?	What does the data entry position or current action show on the layout?	Курсор (Cursor)	Шаблоны (Templates)							
Какой параметр определяет степень непрозрачности элемента на макете?	What parameter determines the degree of opacity of an element on the layout?	Прозрачность (Transparency)	Переиспользование (Reuse)							
Что обозначает условный эскиз, показывающий функциональность и взаимодействие элементов на макете?	What does a conditional sketch mean, showing the functionality and interaction of elements on a layout?	Прототип (Prototype)	Прозрачность (Transparency)							
Какой язык используется для пользовательского интерфейса Framer? 	What language is used for Framer's user interface?	Английский (English)	Русский (Russian)							
Как можно точно позиционировать фреймы в Framer? 	How can frames be precisely positioned in Framer?	Абсолют (Abs)	Относительное позиционирование (Relative positioning)							
Какой концепт в Framer позволяет автоматически располагать фреймы в столбцах и строках? 	Which concept in Framer allows frames to be automatically organized in columns and rows?	Авто (Auto)	Случайное позиционирование (Random positioning)							
Что делает вложенность в Framer? 	What does nesting do in Framer?	Общие параметры (Shared parameters)	Удаляет параметры (Removes parameters)							
Каким образом в Framer можно задавать относительный размер для элементов интерфейса? 	How can you define relative sizing for UI elements in Framer?	Подгонка или заполнение (Fit or fill)	Абсолютный размер (Absolute size)							
Что означает кнопка "Открыть" в графическом редакторе? 	What does the "Open" button signify in a graphic editor?	Открыть (Open)	Позволяет сохранить файл (Allows you to save a file)							
Что обозначает иконка "Удалить" в интерфейсе Framer? 	What does the "Delete" icon represent in the Framer interface?	Удалить (Delete)	Копирует элемент (Duplicates the element)							
Как называется панель, где можно выбрать цвет в графическом редакторе? 	What is the name of the panel where you can select color in a graphic editor?	Цвет (Color)	Инструменты (Tools)							
Какой инструмент используется для рисования прямых линий в графическом редакторе? 	Which tool is used to draw straight lines in a graphic editor?	Линия (Line)	Кисть (Brush)							
Какой элемент интерфейса обычно используется для изменения размера объекта? 	Which UI element is commonly used to resize an object?	Ручка (Handle)	Кнопка "Сохранить" (Save button)							
Что означает кнопка "Открыть" в графическом редакторе?	What does the "Open" button mean in the graphics editor?	Открыть (Open)	Позволяет сохранить файл							
Что обозначает иконка "Удалить" в интерфейсе Framer?	What does the "Delete" icon mean in the Framer interface?	Удалить (Delete)	Копирует элемент							
Как называется панель, где можно выбрать цвет в графическом редакторе?	What is the name of the panel where you can select a color in a graphical editor? (What is the name of the panel where you can select color in a graphic editor?)	Цвет (Color)	Инструменты							
Какой инструмент используется для рисования прямых линий в графическом редакторе?	What tool is used to draw straight lines in a graphics editor?	Линия (Line)	Кисть							
Какой элемент интерфейса обычно используется для изменения размера объекта?	What interface element is commonly used to resize an object?	Ручка (Pen)	Кнопка "Сохранить"							
Что является "лучшим другом" дизайнера в UI проекте?	What is a designer's "best friend" in a UI project?	Грид (Grid)	Гайдлайны (Guidelines)							
Какой инструмент стоит взять с собой в путешествие по UI просторам?	What tool should you take with you on your UI journey?	Пиксель (Pixel)	Утка-пробник (Rubber Duck)							
Как называется секретный клуб, в котором собираются все UI дизайнеры?	What is the name of the secret club where all UI designers gather?	Pixel'ное Братство (Pixel Brotherhood)	Кодермэн (Coded Crusader)							
