Q_ID	Skill_ID	Site_ID	Question_text_ru	Question_text_en	Answer	Fake_answer	Clue_ru	Clue_en	Video_url	Vid_ID	Vid_descr_local	Vid_guest_ID	Vid_channel_ID	Chapter_ID	Timestamp	a_en	a_ru	fa_en	fa_ru
1	1	1	Какой термин используется для обозначения совокупности элементов, с помощью которых пользователь взаимодействует с программой?	What term is used to refer to the set of elements through which the user interacts with the program?	Interface (Интерфейс)	Block (Блок)	Что-то, через что можно взаимодействовать с программой или приложением.	Something through which you can interact with a program or application.	youto.be	fsdhe	bla bla	13	13	13	423423	Interface	Интерфейс	Block	Блок
2	1	1	Какой объект позволяет сгруппировать несколько элементов вместе и управлять ими одновременно?	Which object allows you to group several elements together and manage them at the same time?	Layer (Слой)	Component (Компонент)	Часть изображения, которую можно нарисовать или изменить отдельно от других частей.	A part of an image that can be drawn or modified separately from other parts.	youto.be	fsdhe	bla bla	13	13	13	423423	Layer	Слой	Component	Компонент
3	1	1	Какой метод размещения элементов позволяет указать точную координату расположения на экране?	What method of placing elements allows you to specify the exact coordinate of the location on the screen?	Absolute positioning (Абсолютное позиционирование)	alignment (Выравнивание)	Установка элемента точно в определенном месте на экране.	Placing an element precisely in a specific location on the screen.	youto.be	fsdhe	bla bla	13	13	13	423423	Absolute positioning	Абсолютное позиционирование	alignment	Выравнивание
4	1	1	Какая функция позволяет автоматически выстраивать элементы в виде колонок и рядов?	What function allows you to automatically arrange elements in the form of columns and rows?	Columns and rows (Столбцы и строки)	Text field (Текстовое поле)	Упорядоченное расположение данных в виде таблицы.	An organized arrangement of data in the form of a table.	youto.be	fsdhe	bla bla	13	13	13	423423	Columns and rows	Столбцы и строки	Text field	Текстовое поле
5	1	1	Какая концепция позволяет наследовать общие параметры от родительских элементов и применять относительное изменение размеров?	What concept allows you to inherit common settings from parent elements and apply relative sizing?	Nesting concept (Концепция вложенности)	alignment (Выравнивание)	Идея, когда один элемент содержит другой элемент внутри себя.	The idea of one element containing another element inside itself.	youto.be	fsdhe	bla bla	13	13	13	423423	Nesting concept	Концепция вложенности	alignment	Выравнивание
6	1	1	Какая функция позволяет автоматически подгонять размер элементов под контент или заполнять родительский элемент полностью?	What function allows you to automatically fit the size of the elements to the content or fill the parent element completely?	Auto leveling (Автоматическое выравнивание)	Hierarchy (Иерархия)	Функция, которая автоматически выравнивает элементы на экране.	A feature that automatically aligns elements on the screen.	youto.be	fsdhe	bla bla	13	13	13	423423	Auto leveling	Автоматическое выравнивание	Hierarchy	Иерархия
7	1	1	Какой термин означает использование игровых элементов и концепций для обучения?	Which term refers to the use of game elements and concepts for learning?	Gamification (Геймификация)	Indent (Отступ)	Применение игровых элементов и механик в негеймовых ситуациях.	The application of game elements and mechanics in non-game situations.	youto.be	fsdhe	bla bla	13	13	13	423423	Gamification	Геймификация	Indent	Отступ
8	1	1	Как называется процесс создания и макетирования веб-сайтов?	What is the name of the process of creating and layout websites?	Web design (Веб-дизайн)	Assembly (Сборка)	Создание и оформление веб-страниц и веб-сайтов.	The creation and styling of web pages and websites.	youto.be	fsdhe	bla bla	13	13	13	423423	Web design	Веб-дизайн	Assembly	Сборка
9	1	1	Какой термин означает настройку и изменение элементов в соответствии с индивидуальными предпочтениями?	Which term means customizing and changing elements to suit individual preferences?	Customization (Кастомизация)	Clue (Подсказка)	Возможность изменять внешний вид и поведение программы или приложения.	The ability to modify the appearance and behavior of a program or application.	youto.be	fsdhe	bla bla	13	13	13	423423	Customization	Кастомизация	Clue	Подсказка
10	1	1	Как называется все программы и данные,хранящиеся на компьютере или устройстве?	What is the name of all the programs and data stored on a computer or device?	Soft (Софт)	Sample (Шаблон)	Сокращенное название программного обеспечения.	A shortened term for software.	youto.be	fsdhe	bla bla	13	13	13	423423	Soft	Софт	Sample	Шаблон
11	1	1	Что это за элемент в Framer, который можно скопировать и повторно использовать в разных частях макета?	What is this element in Framer that can be copied and reused in different parts of the layout?	An object (Объект)	fill (Заливка)	Что-то с определенными свойствами и методами, как в реальном мире, но в программировании.	Something with specific properties and methods, like in the real world, but in programming.	youto.be	fsdhe	bla bla	13	13	13	423423	An object	Объект	fill	Заливка
12	1	1	Как называется панель в Framer, показывающая все элементы макета и их взаимосвязь?	What is the name of the panel in Framer that shows all the layout elements and their relationship?	Hierarchy (Иерархия)	Root element (Корневой элемент)	Организация элементов по уровням вложенности или подчиненности.	The organization of elements into levels of nesting or subordination. 	youto.be	fsdhe	bla bla	13	13	13	423423	Hierarchy	Иерархия	Root element	Корневой элемент
13	1	1	Как называется законченный блок кода в Framer, который можно повторно использовать в разных проектах?	What is the name of a finished block of code in Framer that can be reused across projects?	Code section (Участок кода)	Layout (Макет)	Отдельная часть программного кода, которую можно выделить и повторно использовать	A separate portion of the source code that can be highlighted and reused	youto.be	fsdhe	bla bla	13	13	13	423423	Code section	Участок кода	Layout	Макет
14	1	1	Как называется эффект движения и изменения свойств элемента на макете?	What is the name of the effect of movement and changing the properties of an element on the layout?	Animation (Анимация)	Stylization (Стилизация)	Создание движущихся и изменяющихся изображений или элементов.	Creating moving and changing images or elements.	youto.be	fsdhe	bla bla	13	13	13	423423	Animation	Анимация	Stylization	Стилизация
15	1	1	Какой термин используется для обозначения кнопок, ползунков и других элементов	What term is used to refer to buttons, sliders, and other elements	Controls (Элементы управления)	Animation (Анимация)	Кнопки, поля ввода и другие средства взаимодействия с программой.	Buttons, input fields, and other means of interacting with a program.	youto.be	fsdhe	bla bla	13	13	13	423423	Controls	Элементы управления	Animation	Анимация
16	1	1	Как называется расстояние между элементами на макете?	What is the name of the distance between elements on the layout?	Indent (Отступ)	Responsiveness (Отзывчивость)	Расстояние между элементом и его родительским элементом или другими элементами.	The space between an element and its parent element or other elements.	youto.be	fsdhe	bla bla	13	13	13	423423	Indent	Отступ	Responsiveness	Отзывчивость
17	1	1	Как называется набор цветов, используемых для создания макета?	What is the name of the set of colors used to create the layout?	Color palette (Цветовая палитра)	Color palette (Цветовая палитра)	Коллекция доступных цветов для использования в дизайне.	A collection of available colors for use in design.	youto.be	fsdhe	bla bla	13	13	13	423423	Color palette	Цветовая палитра	Color palette	Цветовая палитра
18	1	1	Как называется стиль и оформление текста на макете?	What is the name of the style and design of the text on the layout?	Typography (Типографика)	Component (Компонент)	Искусство и наука о шрифтах, их стиле и компоновке.	The art and science of fonts, their style, and arrangement.	youto.be	fsdhe	bla bla	13	13	13	423423	Typography	Типографика	Component	Компонент
19	1	1	Какой термин используется для загрузки изображений и других файлов на макет?	What term is used to upload images and other files to a layout?	Importing (Импортирование)	Import (Импорт)	Процесс внесения данных или файлов из другого источника.	The process of bringing in data or files from another source.	youto.be	fsdhe	bla bla	13	13	13	423423	Importing	Импортирование	Import	Импорт
20	1	1	Что это за символический макет, который демонстрирует функциональность и взаимодействие элементов на макете?	What is this symbolic layout that demonstrates the functionality and interaction of the elements on the layout?	Prototype (Прототип)	Font (Шрифт)	Предварительная версия продукта или интерфейса для тестирования и оценки.	A preliminary version of a product or interface for testing and evaluation.	youto.be	fsdhe	bla bla	13	13	13	423423	Prototype	Прототип	Font	Шрифт
21	1	1	Что это за функция, позволяющая пользователю изменять и взаимодействовать с элементом на макете?	What is this feature that allows the user to change and interact with an element on the layout?	Interaction (Взаимодействие)	grouping (Группировка)	Как пользователи взаимодействуют с программой или интерфейсом.	How users interact with a program or interface.	youto.be	fsdhe	bla bla	13	13	13	423423	Interaction	Взаимодействие	grouping	Группировка
22	1	1	Какой термин означает адаптивность макета под различные размеры экранов и устройств?	Which term means adaptive layout to different screen sizes and devices?	Responsiveness (Отзывчивость)	Cursor (Курсор)	Скорость и отзывчивость программы на действия пользователя.	The speed and responsiveness of a program to user actions.	youto.be	fsdhe	bla bla	13	13	13	423423	Responsiveness	Отзывчивость	Cursor	Курсор
23	1	1	Какой термин используется для готовых макетов и элементов, которые можно применить к своему проекту?	What is the term used for ready-made layouts and elements that you can apply to your project?	Templates (Шаблоны)	Transparency (Прозрачность)	Предварительно созданные структуры, которые можно использовать для создания новых документов или элементов.	Pre-designed structures that can be used to create new documents or elements.	youto.be	fsdhe	bla bla	13	13	13	423423	Templates	Шаблоны	Transparency	Прозрачность
24	1	1	Что это за концепция, позволяющая использовать одни и те же элементы в разных частях макета?	What is the concept of allowing the same elements to be used in different parts of the layout?	Reuse (Переиспользование)	Prototype (Прототип)	Принцип, который позволяет использовать существующие элементы или код повторно.	The principle that allows using existing elements or code again.	youto.be	fsdhe	bla bla	13	13	13	423423	Reuse	Переиспользование	Prototype	Прототип
25	1	1	Какой параметр определяет, насколько просвечивает элемент на макете?	What parameter determines how transparent an element is on the layout?	Transparency (Прозрачность)	Interface (Интерфейс)	Свойство, которое позволяет видеть, что находится под элементом.	A property that allows seeing what is beneath an element.	youto.be	fsdhe	bla bla	13	13	13	423423	Transparency	Прозрачность	Interface	Интерфейс
26	1	1	Как называется фрагмент макета, содержащий один или несколько элементов?	What is the name of a layout fragment that contains one or more elements?	Block (Блок)	Layer (Слой)	Отдельная область визуального интерфейса или кода, выполняющая определенную функцию.	A separate area in the visual interface or code that performs a specific function.	youto.be	fsdhe	bla bla	13	13	13	423423	Block	Блок	Layer	Слой
27	1	1	Что это за повторно используемый элемент, созданный для выполнения определенной функции на макете?	What is this reusable element created to perform a specific function on a layout?	Component (Компонент)	Absolute positioning (Абсолютное позиционирование)	Независимая часть программы, модуль или элемент, который может быть использован для построения большей системы.	An independent part of a program, module, or element that can be used to build a larger system.	youto.be	fsdhe	bla bla	13	13	13	423423	Component	Компонент	Absolute positioning	Абсолютное позиционирование
28	1	1	Какой термин используется для установки одинакового расстояния между элементами на макете?	What term is used to set equal spacing between elements in a layout?	Alignment (Выравнивание)	Columns and rows (Столбцы и строки)	Процесс установки элементов так, чтобы они были выровнены по определенному критерию, например, по границе или отступу.	The process of aligning elements based on a specific criterion, such as a border or indentation.	youto.be	fsdhe	bla bla	13	13	13	423423	Alignment	Выравнивание	Columns and rows	Столбцы и строки
29	1	1	Как называется элемент, предназначенный для ввода текста на макете?	What is the name of the element intended for entering text on the layout?	Text field (Текстовое поле)	Nesting concept (Концепция вложенности)	Область ввода текста, где пользователи могут вводить или редактировать текст.	An input area where users can enter or edit text.	youto.be	fsdhe	bla bla	13	13	13	423423	Text field	Текстовое поле	Nesting concept	Концепция вложенности
30	1	1	Какой параметр позволяет располагать элементы на макете по определенной прямой линии?	What parameter allows you to arrange elements on the layout in a certain straight line?	alignment (Выравнивание)	Auto leveling (Автоматическое выравнивание)	Организация элементов по уровням вложенности или подчиненности.	The organization of elements into levels of nesting or subordination.	youto.be	fsdhe	bla bla	13	13	13	423423	alignment	Выравнивание	Auto leveling	Автоматическое выравнивание
31	1	1	Как называется панель в Framer, отображающая порядок элементов на макете?	What is the name of the panel in Framer that displays the order of elements on the layout?	Hierarchy (Иерархия)	Gamification (Геймификация)	Расстояние между элементом и его родительским элементом или другими элементами.	The space between an element and its parent element or other elements.	youto.be	fsdhe	bla bla	13	13	13	423423	Hierarchy	Иерархия	Gamification	Геймификация
32	1	1	Как называется пространство между текстом или элементами и границами макета?	What is the space between text or elements and layout borders called?	Indent (Отступ)	Web design (Веб-дизайн)	Процесс объединения отдельных компонентов или модулей для создания целого.	The process of combining individual components or modules to create a whole.	youto.be	fsdhe	bla bla	13	13	13	423423	Indent	Отступ	Web design	Веб-дизайн
33	1	1	Какой термин используется для объединения нескольких элементов в один, с целью улучшения производительности?	What term is used to combine multiple elements into one to improve performance?	Assembly (Сборка)	Customization (Кастомизация)	Информация или указание, предназначенные для помощи или подсказки пользователю.	Information or indication intended to assist or provide a hint to the user.	youto.be	fsdhe	bla bla	13	13	13	423423	Assembly	Сборка	Customization	Кастомизация
34	1	1	Как называется всплывающая подсказка, содержащая информацию о функции или элементе интерфейса?	What is the name of a tooltip containing information about a function or interface element?	Clue (Подсказка)	Soft (Софт)	Информация или указание, предназначенные для помощи или подсказки пользователю.	Information or indication intended to assist or provide a hint to the user.	youto.be	fsdhe	bla bla	13	13	13	423423	Clue	Подсказка	Soft	Софт
35	1	1	Какой термин используется для готового дизайна, который можно использовать в своих проектах?	What is the term used for a finished design that you can use in your projects?	Sample (Шаблон)	An object (Объект)	Образец, который может быть использован в качестве основы для создания чего-либо.	A sample that can be used as a basis for creating something.	youto.be	fsdhe	bla bla	13	13	13	423423	Sample	Шаблон	An object	Объект
36	1	1	Как называется процесс заполнения элемента цветом или текстурой?	What is the process of filling an element with a color or texture called?	fill (Заливка)	Hierarchy (Иерархия)	Заполнение области определенным цветом или узором.	Filling an area with a specific color or pattern.	youto.be	fsdhe	bla bla	13	13	13	423423	fill	Заливка	Hierarchy	Иерархия
37	1	1	Какой элемент является основой иерархии элементов на макете?	Which element is the basis of the element hierarchy in the layout?	Root element (Корневой элемент)	Code section (Участок кода)	Основной элемент, от которого начинается иерархия других элементов.	The main element from which the hierarchy of other elements begins.	youto.be	fsdhe	bla bla	13	13	13	423423	Root element	Корневой элемент	Code section	Участок кода
38	1	1	Что обозначает схематическое изображение веб-страницы или приложения?	What does a schematic representation of a web page or application mean?	Layout (Макет)	Animation (Анимация)	Организация и размещение элементов визуального интерфейса на экране.	The organization and arrangement of visual interface elements on the screen.	youto.be	fsdhe	bla bla	13	13	13	423423	Layout	Макет	Animation	Анимация
39	1	1	Какой термин используется для изменения внешнего вида элемента интерфейса?	What term is used to change the appearance of an interface element?	Stylization (Стилизация)	Controls (Элементы управления)	Процесс применения стилей для изменения внешнего вида элементов.	The process of applying styles to change the appearance of elements.	youto.be	fsdhe	bla bla	13	13	13	423423	Stylization	Стилизация	Controls	Элементы управления
40	1	1	Как называется процесс создания движения и изменения формы элементов на макете?	What is the process of creating movement and changing the shape of elements on a layout called?	Animation (Анимация)	Indent (Отступ)	Создание движущихся и изменяющихся изображений или элементов.	Creating moving and changing images or elements.	youto.be	fsdhe	bla bla	13	13	13	423423	Animation	Анимация	Indent	Отступ
41	1	1	Какой термин означает адаптивность макета под различные размеры экранов?	Which term means adaptive layout to different screen sizes?	Responsiveness (Отзывчивость)	Color palette (Цветовая палитра)	Скорость и отзывчивость программы на действия пользователя.	The speed and responsiveness of a program to user actions.	youto.be	fsdhe	bla bla	13	13	13	423423	Responsiveness	Отзывчивость	Color palette	Цветовая палитра
42	1	1	Как называется набор цветов, используемых в дизайне макета?	What is the name of the set of colors used in layout design?	Color palette (Цветовая палитра)	Typography (Типографика)	Коллекция доступных цветов для использования в дизайне.	A collection of available colors for use in design.	youto.be	fsdhe	bla bla	13	13	13	423423	Color palette	Цветовая палитра	Typography	Типографика
43	1	1	Что означает повторно используемый элемент дизайна?	What does a reusable design element mean?	Component (Компонент)	Importing (Импортирование)	Независимая часть программы, модуль или элемент, который может быть использован для построения большей системы.	An independent part of a program, module, or element that can be used to build a larger system.	youto.be	fsdhe	bla bla	13	13	13	423423	Component	Компонент	Importing	Импортирование
44	1	1	Что указывает на загрузку изображений и других файлов на макет?	What indicates the loading of images and other files on the layout?	Import (Импорт)	Prototype (Прототип)	Процесс внесения данных или файлов из внешнего источника.	The process of bringing in data or files from an external source.	youto.be	fsdhe	bla bla	13	13	13	423423	Import	Импорт	Prototype	Прототип
45	1	1	Как называется набор знаков определенного стиля, используемый для отображения текста на макете?	What is the name of a character set of a certain style used to display text on a layout?	Font (Шрифт)	Interaction (Взаимодействие)	Набор символов с определенным стилем и размером, используемый для написания текста.	A set of characters with a specific style and size used for writing text.	youto.be	fsdhe	bla bla	13	13	13	423423	Font	Шрифт	Interaction	Взаимодействие
46	1	1	Какой термин используется для объединения нескольких элементов в один на макете?	What term is used to combine multiple elements into one in a layout?	grouping (Группировка)	Responsiveness (Отзывчивость)	Группировка связанных элементов вместе для удобства управления и манипулирования.	Grouping related elements together for ease of management and manipulation.	youto.be	fsdhe	bla bla	13	13	13	423423	grouping	Группировка	Responsiveness	Отзывчивость
47	1	1	Что показывает позицию ввода данных или текущее действие на макете?	What does the data entry position or current action show on the layout?	Cursor (Курсор)	Templates (Шаблоны)	Индикатор на экране, который обозначает текущую позицию ввода текста или операцию.	An indicator on the screen that denotes the current position of text input or operation.	youto.be	fsdhe	bla bla	13	13	13	423423	Cursor	Курсор	Templates	Шаблоны
48	1	1	Какой параметр определяет степень непрозрачности элемента на макете?	What parameter determines the degree of opacity of an element on the layout?	Transparency (Прозрачность)	Reuse (Переиспользование)	Свойство элемента, которое позволяет видеть, что находится под ним.	The property of an element that allows seeing what is beneath it.	youto.be	fsdhe	bla bla	13	13	13	423423	Transparency	Прозрачность	Reuse	Переиспользование
49	1	1	Что обозначает условный эскиз, показывающий функциональность и взаимодействие элементов на макете?	What does a conditional sketch mean, showing the functionality and interaction of elements on a layout?	Prototype (Прототип)	Transparency (Прозрачность)	Предварительная версия продукта или интерфейса для тестирования и оценки.	A preliminary version of a product or interface for testing and evaluation.	youto.be	fsdhe	bla bla	13	13	13	423423	Prototype	Прототип	Transparency	Прозрачность
50	1	1	Какой язык используется для пользовательского интерфейса Framer? 	What language is used for Framer's user interface?	English (Английский)	Russian (Русский)	Официальный язык, используемый в данном случае для обозначения английского языка.	The official language used in this context to refer to the English language.	youto.be	fsdhe	bla bla	13	13	13	423423	English	Английский	Russian	Русский
51	1	1	Как можно точно позиционировать фреймы в Framer? 	How can frames be precisely positioned in Framer?	Abs (Абсолют)	Relative positioning (Относительное позиционирование)	Сокращенное обозначение для абсолютного значения или позиционирования.	An abbreviation for absolute value or positioning.	youto.be	fsdhe	bla bla	13	13	13	423423	Abs	Абсолют	Relative positioning	Относительное позиционирование
52	1	1	Какой концепт в Framer позволяет автоматически располагать фреймы в столбцах и строках? 	Which concept in Framer allows frames to be automatically organized in columns and rows?	Auto (Авто)	Random positioning (Случайное позиционирование)	Сокращенное обозначение для автоматического значения или режима.	An abbreviation for automatic value or mode.	youto.be	fsdhe	bla bla	13	13	13	423423	Auto	Авто	Random positioning	Случайное позиционирование
53	1	1	Что делает вложенность в Framer? 	What does nesting do in Framer?	Shared parameters (Общие параметры)	Removes parameters (Удаляет параметры)	Параметры, которые могут быть использованы несколькими элементами или компонентами.	Parameters that can be used by multiple elements or components.	youto.be	fsdhe	bla bla	13	13	13	423423	Shared parameters	Общие параметры	Removes parameters	Удаляет параметры
54	1	1	Каким образом в Framer можно задавать относительный размер для элементов интерфейса? 	How can you define relative sizing for UI elements in Framer?	Fit or fill (Подгонка или заполнение)	Absolute size (Абсолютный размер)	Действие или метод, позволяющий изменить размер или пропорцию элемента в соответствии с заданными параметрами.	An action or method that allows resizing or scaling an element according to specified parameters.	youto.be	fsdhe	bla bla	13	13	13	423423	Fit or fill	Подгонка или заполнение	Absolute size	Абсолютный размер
55	1	1	Что означает кнопка "Открыть" в графическом редакторе? 	What does the "Open" button signify in a graphic editor?	Open (Открыть)	Allows you to save a file (Позволяет сохранить файл)	Действие, позволяющее получить доступ и открыть файл или документ.	An action that allows you to access and open a file or document.	youto.be	fsdhe	bla bla	13	13	13	423423	Open	Открыть	Allows you to save a file	Позволяет сохранить файл
56	1	1	Что обозначает иконка "Удалить" в интерфейсе Framer? 	What does the "Delete" icon represent in the Framer interface?	Delete (Удалить)	Duplicates the element (Копирует элемент)	Действие, позволяющее удалить элемент, файл или данные.	An action that allows you to remove an element, file, or data.	youto.be	fsdhe	bla bla	13	13	13	423423	Delete	Удалить	Duplicates the element	Копирует элемент
57	1	1	Как называется панель, где можно выбрать цвет в графическом редакторе? 	What is the name of the panel where you can select color in a graphic editor?	Color (Цвет)	Tools (Инструменты)	Атрибут, определяющий внешний вид элемента или пространства.	An attribute that determines the appearance of an element or space.	youto.be	fsdhe	bla bla	13	13	13	423423	Color	Цвет	Tools	Инструменты
58	1	1	Какой инструмент используется для рисования прямых линий в графическом редакторе? 	Which tool is used to draw straight lines in a graphic editor?	Line (Линия)	Brush (Кисть)	Геометрическая фигура, состоящая из двух точек и расстояния между ними.	A geometric shape consisting of two points and the distance between them.	youto.be	fsdhe	bla bla	13	13	13	423423	Line	Линия	Brush	Кисть
59	1	1	Какой элемент интерфейса обычно используется для изменения размера объекта? 	Which UI element is commonly used to resize an object?	Handle (Ручка)	Save button (Кнопка "Сохранить")	Инструмент или элемент интерфейса, который позволяет пользователю манипулировать объектами или данными.	An instrument or interface element that allows the user to manipulate objects or data.	youto.be	fsdhe	bla bla	13	13	13	423423	Handle	Ручка	Save button	Кнопка "Сохранить"
60	1	1	Что означает кнопка "Открыть" в графическом редакторе?	What does the "Open" button mean in the graphics editor?	Open (Открыть)	Allows to save file (Позволяет сохранить файл)	Действие, позволяющее получить доступ и открыть файл или документ.	An action that allows you to access and open a file or document.	youto.be	fsdhe	bla bla	13	13	13	423423	Open	Открыть	Allows to save file	Позволяет сохранить файл
61	1	1	Что обозначает иконка "Удалить" в интерфейсе Framer?	What does the "Delete" icon mean in the Framer interface?	Delete (Удалить)	Copies element (Копирует элемент)	Действие, позволяющее удалить элемент, файл или данные.	An action that allows you to remove an element, file, or data.	youto.be	fsdhe	bla bla	13	13	13	423423	Delete	Удалить	Copies element	Копирует элемент
62	1	1	Как называется панель, где можно выбрать цвет в графическом редакторе?	What is the name of the panel where you can select a color in a graphical editor? (What is the name of the panel where you can select color in a graphic editor?)	Color (Цвет)	Instruments (Инструменты)	Атрибут, определяющий внешний вид элемента или пространства.	An attribute that determines the appearance of an element or space.	youto.be	fsdhe	bla bla	13	13	13	423423	Color	Цвет	Instruments	Инструменты
63	1	1	Какой инструмент используется для рисования прямых линий в графическом редакторе?	What tool is used to draw straight lines in a graphics editor?	Line (Линия)	Brush (Кисть)	Геометрическая фигура, состоящая из двух точек и расстояния между ними.	A geometric shape consisting of two points and the distance between them.	youto.be	fsdhe	bla bla	13	13	13	423423	Line	Линия	Brush	Кисть
64	1	1	Что является "лучшим другом" дизайнера в UI проекте?	What is a designer's "best friend" in a UI project?	Grid (Грид)	Guidelines (Гайдлайны)	Гробовая сетка, в которой заточены пиксели, чтобы ловить непослушные точечки.	A coffin-like grid in which pixels are trapped, catching unruly dots.	youto.be	fsdhe	bla bla	13	13	13	423423	Grid	Грид	Guidelines	Гайдлайны
65	1	1	Какой инструмент стоит взять с собой в путешествие по UI просторам?	What tool should you take with you on your UI journey?	Pixel (Пиксель)	Rubber Duck (Утка-пробник)	Маленький строительный блок, который создает волшебные миры из цветных точек.	A tiny building block that creates magical worlds out of colorful dots.	youto.be	fsdhe	bla bla	13	13	13	423423	Pixel	Пиксель	Rubber Duck	Утка-пробник
66	1	1	Как называется секретный клуб, в котором собираются все UI дизайнеры?	What is the name of the secret club where all UI designers gather?	Pixel Brotherhood (Pixel'ное Братство)	Coded Crusader (Кодермэн)	Секретное общество, которое объединяет пиксели со всего мира в их вечной борьбе за пиксельные права.	The secret society that unites pixels from all over the world in their eternal struggle for pixel rights.	youto.be	fsdhe	bla bla	13	13	13	423423	Pixel Brotherhood	Pixel'ное Братство	Coded Crusader	Кодермэн
67	1	1	Как зовут волшебный инструмент, превращающий wireframe в полноценный дизайн?	What is the name of the magical tool that turns a wireframe into a full-fledged design?	Magic (Магия)	Life (Жизнь)	Тайнственная сила, которая превращает отдельные точки в волшебные изображения.	A mysterious force that transforms individual dots into enchanting images.	youto.be	fsdhe	bla bla	13	13	13	423423	Magic	Магия	Life	Жизнь
