Q_ID	Skill_id	Site_ID	Question_text_ru	Question_text_en	Answer	Fake_answer1	Fake_answer2	Clue	Video_url	Vid_ID	Vid_descr_local	Vid_guest_ID	Vid_channel_ID	Chapter_ID	Timestamp
1	1	1	Какой термин используется для обозначения совокупности элементов, с помощью которых пользователь взаимодействует с программой?	What term is used to refer to the set of elements through which the user interacts with the program?	Интерфейс (Interface)	Блок (Block)									
2	1	1	Какой объект позволяет сгруппировать несколько элементов вместе и управлять ими одновременно?	Which object allows you to group several elements together and manage them at the same time?	Слой (Layer)	Компонент (Component)									
3	1	1	Какой метод размещения элементов позволяет указать точную координату расположения на экране?	What method of placing elements allows you to specify the exact coordinate of the location on the screen?	Абсолютное позиционирование (Absolute positioning)	Выравнивание (alignment)									
4	1	1	Какая функция позволяет автоматически выстраивать элементы в виде колонок и рядов?	What function allows you to automatically arrange elements in the form of columns and rows?	Столбцы и строки (Columns and rows)	Текстовое поле (Text field)									
5	1	1	Какая концепция позволяет наследовать общие параметры от родительских элементов и применять относительное изменение размеров?	What concept allows you to inherit common settings from parent elements and apply relative sizing?	Концепция вложенности (Nesting concept)	Выравнивание (alignment)									
6	1	1	Какая функция позволяет автоматически подгонять размер элементов под контент или заполнять родительский элемент полностью?	What function allows you to automatically fit the size of the elements to the content or fill the parent element completely?	Автоматическое выравнивание (Auto leveling)	Иерархия (Hierarchy)									
7	1	1	Какой термин означает использование игровых элементов и концепций для обучения?	Which term refers to the use of game elements and concepts for learning?	Геймификация (Gamification)	Отступ (Indent)									
8	1	1	Как называется процесс создания и макетирования веб-сайтов?	What is the name of the process of creating and layout websites?	Веб-дизайн (Web design)	Сборка (Assembly)									
9	1	1	Какой термин означает настройку и изменение элементов в соответствии с индивидуальными предпочтениями?	Which term means customizing and changing elements to suit individual preferences?	Кастомизация (Customization)	Подсказка (Clue)									
10	1	1	Как называется все программы и данные,хранящиеся на компьютере или устройстве?	What is the name of all the programs and data stored on a computer or device?	Софт (Soft)	Шаблон (Sample)									
11	1	1	Что это за элемент в Framer, который можно скопировать и повторно использовать в разных частях макета?	What is this element in Framer that can be copied and reused in different parts of the layout?	Объект (An object)	Заливка (fill)									
12	1	1	Как называется панель в Framer, показывающая все элементы макета и их взаимосвязь?	What is the name of the panel in Framer that shows all the layout elements and their relationship?	Иерархия (Hierarchy)	Корневой элемент (Root element)									
13	1	1	Как называется законченный блок кода в Framer, который можно повторно использовать в разных проектах?	What is the name of a finished block of code in Framer that can be reused across projects?	Участок кода (Code section)	Макет (Layout)									
14	1	1	Как называется эффект движения и изменения свойств элемента на макете?	What is the name of the effect of movement and changing the properties of an element on the layout?	Анимация (Animation)	Стилизация (Stylization)									
